total_number_routes=90
total_route_len=41006.162
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 595.783 200 1001-3-242-323-787-806-710-318-831-961-587--1001
2 576.046 190 1001-28-775-973-188-527-245-793-636-147--1001
3 334.420 200 1001-32-520-357-686-243-327-348-644--1001
4 550.788 200 1001-35-825-932-868-154-370-827-832-270-171--1001
5 383.909 200 1001-36-116-586-906-541-723-920-227-850-828-433-567-161-71--1001
6 442.726 200 1001-38-212-859-324-421-369-261-838-697--1001
7 417.866 200 1001-52-380-44-4-17-9-89-18-105-97-919--1001
8 343.753 200 1001-66-246-819-999-943-742-119-610-23--1001
9 502.480 200 1001-70-960-810-620-959-841-580-304-480-684-833--1001
10 556.548 200 1001-72-115-962-486-743-440-512-397-939--1001
11 529.918 200 1001-76-631-467-333-639-229-730-88-659-110--1001
12 275.362 200 1001-130-904-855-13-78-947-588-439-751--1001
13 589.930 180 1001-144-982-164-957-419-179-622-450-877-609--1001
14 521.253 190 1001-149-332-535-851-134-345-936-739-409--1001
15 622.059 200 1001-151-184-139-955-14-645-754-700--1001
16 606.302 200 1001-158-789-553-103-170-240-216-349-178-237--1001
17 542.357 200 1001-175-373-692-707-111-551-94-843-942-885--1001
18 263.535 200 1001-183-981-125-954-404-39-782-256-857--1001
19 525.853 200 1001-208-425-106-81-385-537-124-816-412--1001
20 610.386 200 1001-209-95-834-557-381-271-215-630-80-236-264--1001
21 316.104 200 1001-224-590-997-87-365-565-193-670-646-263--1001
22 358.641 200 1001-231-1-496-166-515-325-457-748-673--1001
23 341.648 200 1001-238-772-506-626-471-260-794-971-628-376--1001
24 547.977 200 1001-258-571-681-948-91-96-378-275-865-75--1001
25 648.722 200 1001-267-363-797-45-68-575-295-180-302-187--1001
26 578.571 200 1001-272-108-182-470-93-203-716-706-875-693-762-601--1001
27 544.914 200 1001-278-382-351-127-50-675-822-459-830-872--1001
28 301.375 200 1001-282-902-543-298-781-880-703-493-699-59--1001
29 448.535 200 1001-291-977-390-352-600-870-786-274--1001
30 475.002 200 1001-300-582-479-437-719-204-37-292-696-205-746--1001
31 594.190 200 1001-303-226-978-671-331-972-974-422-944-401-579--1001
32 306.864 200 1001-306-294-504-766-343-930-756-241-230-169--1001
33 516.112 200 1001-309-299-449-602-546-759-377-296-995-15--1001
34 511.716 200 1001-316-678-461-481-74-876-795-114-338-895-805-284--1001
35 641.514 200 1001-322-536-257-121-966-635-247-113-452-448-367--1001
36 410.714 200 1001-336-508-254-152-112-157-29-757-101-392-453-860-283--1001
37 657.317 200 1001-350-711-403-970-729-413-866-887-408-812-614--1001
38 700.627 190 1001-364-492-219-570-400-752-269-690-387-713--1001
39 685.462 200 1001-384-853-432-727-288-835-858-361-839-608-994--1001
40 271.061 200 1001-394-441-40-77-417-424-90-395-519-728-65--1001
41 302.969 200 1001-402-456-963-801-987-466-279-31-276--1001
42 575.046 200 1001-406-820-502-222-927-509-465-196-871-674--1001
43 433.983 200 1001-411-285-356-472-393-967-474-688-315-518--1001
44 413.452 200 1001-435-250-629-829-523-117-768-657-863-330-248--1001
45 559.344 200 1001-451-849-476-788-528-494-354-555-342-558-549-637-848--1001
46 351.370 200 1001-473-109-562-148-57-131-593-953-560-418--1001
47 307.766 200 1001-478-410-985-136-900-353-983-499-405--1001
48 498.589 200 1001-488-984-896-244-497-48-935-484-653-975-434--1001
49 491.267 200 1001-511-122-705-415-462-698-559-172-569--1001
50 509.962 200 1001-544-708-460-852-428-907-47-773-389-603-513--1001
51 519.238 200 1001-563-937-181-407-102-934-720-126-265-2-53--1001
52 226.882 200 1001-573-337-613-638-796-951-495-420-566-21--1001
53 264.966 200 1001-581-577-533-329-249-945-20-46-689-138-905--1001
54 366.266 200 1001-585-167-293-542-928-952-619-446-396-733-741--1001
55 353.567 200 1001-597-287-362-621-969-213-251-455-252-86--1001
56 373.556 200 1001-599-655-976-458-798-51-591-55-883-273--1001
57 428.718 200 1001-611-940-534-738-807-314-770-141-239--1001
58 131.610 200 1001-615-808-964-988-926-888-923-277-286-824--1001
