total_number_routes=17
total_route_len=6924.416
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 425.791 690 601-25-94-477-376-282-383-471-533-132-366-274-434-288-336-236-560-299-319-47-109-419-115-330-29-424-3-400-495-546-465-372-343-70-271-253-19--601
2 414.450 700 601-63-544-379-228-449-105-92-586-358-140-518-357-54-310-333-240-574-294-484-502-389-410-266-374-231-33-139-513-421-360-446-475-261-307-248-599--601
3 435.099 700 601-110-436-46-30-14-69-194-494-178-290-259-267-304-49-480-576-531-197-65-405-278-370-505-566-10-461-39-349-353-432-406-87-472-591-50--601
4 382.023 700 601-116-352-521-439-214-550-5-425-146-27-184-470-409-487-329-450-525-219-298-486-388-71-568-515-452-369-520-416-316-200-569-596-564-22-95-28--601
5 417.164 700 601-160-269-301-243-40-64-448-598-173-534-117-296-272-547-382-217-318-325-490-157-438-1-302-398-9-55-190-147-444-156-322-31-394-26-162-127--601
6 368.750 690 601-166-111-300-580-517-573-511-558-205-97-260-172-268-427-82-36-169-123-483-351-153-265-196-503-337-6-587-263-429-453-224--601
7 503.453 700 601-171-507-170-500-489-499-81-539-104-395-48-557-473-91-257-338-43-447-344-326-185-466-183-413-380-463-131-368-66-491-535-328-247-404-161--601
8 312.002 660 601-199-514-223-541-493-79-188-412-98-252-191-529-390-551-77-308-519-213-187-297-496-585-16-437-239-144-286-279-317-2-106-226-283-57-384-594-209--601
9 545.173 650 601-222-430-554-134-563-251-18-536-221-155-204-375-145-11-527-227-15-371-311-284-125-442-62-32-234-479-334-158-481-101-122-138-584-114-377--601
10 317.450 690 601-238-280-180-241-488-397-441-562-35-52-129-207-411-38-7-291-588-303-435-292-275-233-232-206-244-86-403-53-287-354-455-422-408-4--601
11 433.440 700 601-249-34-589-281-590-522-359-506-467-399-321-538-112-454-215-367-103-315-136-581-355-262-256-120-133-391-163-443-509-126-113-510-346-504-350-582--601
12 417.952 700 601-264-152-58-426-78-80-154-418-143-176-592-42-460-552-276-364-88-579-567-119-401-293-149-433-595-59-270-396-565-478-75-485-84-100--601
13 321.971 570 601-339-347-474-135-451-212-313-67-229-21-220-137-501-570-356-572-211-345-218-121-56-73-578-553-530-72-457-468-545--601
14 515.033 690 601-385-423-540-174-273-332-13-186-523-402-537-498-462-17-528-198-181-387-577-393-175-96-373-150-99-179-324-417-60-216-41-89-407-431-340--601
15 268.984 650 601-392-258-456-230-320-255-459-309-151-497-74-51-164-476-342-386-85-575-225-289-428-165-306-420-542-203-107-177-305-492--601
16 398.565 650 601-464-24-327-593-182-142-414-83-168-192-61-524-548-482-245-549-148-543-8-201-202-90-277-458-189-242-508-141-159-285-23-20--601
17 447.116 700 601-469-295-210-555-246-195-532-381-124-250-440-323-12-361-237-68-512-561-445-314-583-600-348-44-378-556-415-76-235-341-571-93-193-102-45-130--601
