total_number_routes=91
total_route_len=49435.635
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 252.638 197 1001-26-489-932-718-651-517-853-302-770--1001
2 499.580 197 1001-28-622-133-672-127-862-994-204-787-916--1001
3 579.664 199 1001-38-447-599-691-98-194-309-930-33-724-427-415-997--1001
4 489.160 200 1001-53-680-623-81-643-674-780-456--1001
5 611.637 200 1001-54-725-269-988-100-109-399-397-422-357--1001
6 595.497 192 1001-60-510-119-4-826-639-648-168-195-602--1001
7 501.722 200 1001-77-901-700-908-548-425-413-102-451-192--1001
8 361.857 199 1001-89-463-116-70-322-611-827-108-894--1001
9 437.497 200 1001-96-744-856-99-150-641-690-888-42-918--1001
10 226.595 197 1001-110-14-201-802-695-218-621-537-589-257--1001
11 488.475 200 1001-117-411-937-830-404-430-205-551-88-84--1001
12 529.454 200 1001-122-629-553-824-707-135-416-966-69-2--1001
13 654.666 200 1001-123-995-950-579-146-228-191-217-6-594--1001
14 671.011 200 1001-136-958-375-121-32-769-285-23-177--1001
15 495.836 200 1001-138-563-748-863-498-884-265-829-298-807--1001
16 559.015 198 1001-139-558-711-241-978-467-376-348--1001
17 565.488 200 1001-140-296-210-666-157-179-588-867-197-242-143-609--1001
18 428.634 200 1001-148-820-804-495-543-9-585-426-259--1001
19 499.069 200 1001-160-858-335-45-442-959-62-325-945--1001
20 623.443 200 1001-165-645-458-785-962-303-429-815-137-993--1001
21 590.255 197 1001-206-373-220-518-742-596-777-759-733-392-664--1001
22 737.921 200 1001-208-324-418-167-886-566-961-982-659-224-171-860--1001
23 476.304 200 1001-209-679-454-973-524-170-56-987--1001
24 454.425 200 1001-223-696-899-5-44-998-355-771-833-957--1001
25 694.657 200 1001-230-752-91-624-587-660-221-546-245--1001
26 647.316 200 1001-234-453-808-496-263-977-504-59-24-390-282--1001
27 246.387 198 1001-235-775-527-751-253-455-461-898--1001
28 404.838 200 1001-247-971-444-914-917-482-396-821-847-318--1001
29 524.726 199 1001-250-198-736-922-734-512-678-887--1001
30 379.883 199 1001-260-126-947-103-842-513-761-82--1001
31 346.644 200 1001-262-435-185-189-330-948-499-256-176-277--1001
32 728.559 198 1001-276-727-229-294-969-822-207-25-490-34-75-682--1001
33 664.504 200 1001-292-774-652-434-271-766-149-668-314-317-270--1001
34 306.191 200 1001-299-893-607-182-630-328-618-407-743-559--1001
35 707.771 199 1001-339-273-368-642-564-184-576-360-542-332-689-653-968-580--1001
36 768.026 200 1001-361-155-222-402-410-364-552-801-990-529-665-832--1001
37 593.484 200 1001-365-199-597-379-243-582-211-476-251-923--1001
38 441.404 199 1001-372-202-497-159-745-869-67-676-782--1001
39 705.775 200 1001-374-334-550-431-174-469-951-480-118--1001
40 517.440 200 1001-394-86-409-58-248-583-258-446-492-428--1001
41 747.397 200 1001-395-484-946-293-327-57-520-468-688-670-837-436-369--1001
42 1040.417 200 1001-417-154-187-193-793-720-232-36-378-414-55-20-989--1001
43 713.241 198 1001-448-134-791-577-279-387-338-200-385-895-383--1001
44 662.636 200 1001-457-669-533-879-920-124-280-749-705-437-933-19--1001
45 559.837 200 1001-459-710-161-897-757-261-12-567-850--1001
46 734.332 199 1001-477-64-115-268-953-326-605-538-756-560--1001
47 212.506 199 1001-486-487-141-74-712-540-713-142--1001
48 502.166 197 1001-508-984-300-904-778-181-494-153-344-291-864--1001
49 728.154 200 1001-544-156-838-640-367-737-593-145-698-739-481--1001
50 518.743 198 1001-555-872-536-188-714-43-343-509-186-72-810--1001
51 527.857 200 1001-590-924-991-575-797-169-839-406-935-286-941--1001
52 687.268 200 1001-595-107-488-275-31-252-354-27-938--1001
53 616.214 200 1001-616-934-765-345-902-48-882-382-231-836-452--1001
54 716.756 198 1001-617-683-491-813-307-556-715-158-316-604-503-39-441-942--1001
55 767.293 200 1001-628-573-786-534-701-999-30-356-603-855--1001
56 297.146 199 1001-650-773-114-658-87-129-767-610--1001
57 379.156 199 1001-667-313-655-781-400-500-699--1001
58 295.153 199 1001-673-377-212-758-788-386-449--1001
59 598.316 199 1001-675-41-226-329-227-784-366-10-362-805-632--1001
60 728.234 199 1001-692-936-620-600-684-49-892-952-311-76-709--1001
61 432.920 197 1001-697-873-66-708-308-333-321-340-909--1001
62 387.293 200 1001-704-35-581-811-389-522-900-384-239--1001
63 354.696 197 1001-706-891-686-47-471-921-613--1001
64 796.449 198 1001-717-190-843-677-571-574-284-768-693-274-919--1001
65 351.564 199 1001-726-213-606-746-755-723-792-290-625-729--1001
66 615.294 199 1001-731-95-337-979-113-71-896-393-79--1001
67 578.370 197 1001-732-764-438-906-215-347-196-939-554-125-301--1001
68 575.289 200 1001-790-358-763-631-972-913-85-175-391-7--1001
69 569.630 200 1001-799-306-440-776-11-907-466-346-272-450--1001
70 619.253 197 1001-817-412-779-545-432-352-470-353-238-926-840-539--1001
71 637.271 197 1001-818-46-598-974-535-17-975-359-592-131-633--1001
72 511.158 199 1001-819-473-403-502-740-627-798-443-747--1001
73 739.991 198 1001-835-511-929-949-825-216-342-531-233-266-730--1001
74 520.915 199 1001-841-73-608-754-816-681-859-380-166-423--1001
75 607.100 200 1001-846-702-388-507-483-795-240-398-162-1--1001
76 660.569 199 1001-848-903-128-419-130-420-405-806-287-912-874--1001
77 506.232 200 1001-849-180-814-475-523-722-578-649-996--1001
78 240.696 200 1001-854-927-68-703-254-281-800-634--1001
79 534.208 199 1001-876-931-37-351-955-871-661-505-112--1001
80 686.574 200 1001-881-152-910-304-803-557-219-954-789-716-861-370--1001
81 550.719 200 1001-885-401-493-964-350-685-424-331-525--1001
82 470.743 200 1001-890-515-963-433-120-225-111-246-857-636--1001
83 592.183 200 1001-905-203-249-875-663-460-183-925-851-97--1001
84 306.385 199 1001-911-21-928-967-986-741-93-104-794--1001
85 390.374 196 1001-943-656-783-132-852-772-728-565-612-635-694--1001
86 449.532 200 1001-944-654-312-956-363-22-18-915-844--1001
87 614.901 200 1001-960-870-812-94-868-562-735-8-561-568--1001
88 374.413 199 1001-965-464-90-646-572-13-101--1001
89 532.865 198 1001-983-164-644-78-760-236-526-615-445--1001
90 617.106 199 1001-992-462-738-50-80-439-178-878-880-479--1001
91 570.670 200 1001-1000-289-29-637-719-657-305-52-341-315-647--1001
