total_number_routes=91
total_route_len=43500.712
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 454.469 197 1001-10-303-675-41-226-456-780-674--1001
2 405.094 200 1001-14-584-508-163-406-170-56-47-286--1001
3 305.241 200 1001-35-569-77-581-811-96-710-445-626--1001
4 569.652 198 1001-60-510-560-422-397-399-988-109-269-725-512-678--1001
5 211.991 197 1001-68-819-634-632-82-173-101--1001
6 248.399 199 1001-74-21-741-967-986-485-540-713--1001
7 560.783 200 1001-78-85-879-175-391-280-124-920-913-7-972--1001
8 629.602 200 1001-80-50-57-520-274-324-919-582-211-693-688-208-923-308--1001
9 541.865 197 1001-86-382-882-48-248-902-345-966--1001
10 420.877 200 1001-103-947-680-427-930-309-81-519-447--1001
11 163.557 200 1001-110-541-201-706-320-61-610-247--1001
12 637.481 198 1001-136-958-977-982-574-961-177-285-23-263-284--1001
13 197.576 198 1001-141-911-28-459-253-704-697--1001
14 492.724 200 1001-143-409-58-583-258-197-867-337-242-807--1001
15 630.235 199 1001-155-529-222-71-665-896-979-179-157--1001
16 460.017 199 1001-159-745-870-991-506-812-67-826-119-54--1001
17 339.226 200 1001-172-256-914-761-126-513-499-260-997-53--1001
18 595.747 200 1001-176-847-273-245-784-366-329-691-227-98-194-815-137-429--1001
19 569.233 199 1001-206-234-349-453-808-243-379-468-768-66--1001
20 167.727 198 1001-213-667-796-51-625-729-516-927--1001
21 557.262 200 1001-255-869-648-100-168-195-538-602-562--1001
22 388.145 200 1001-277-165-962-339-482-396-821-318-917--1001
23 326.795 199 1001-281-800-980-330-189-699-500-415--1001
24 525.243 200 1001-292-774-317-434-652-149-270-668-709-601--1001
25 734.656 200 1001-300-978-64-55-154-414-36-378-115-20-720-592-241--1001
26 460.113 200 1001-306-358-615-457-669-450-346-272-451-102-440-389--1001
27 558.371 197 1001-335-45-640-964-836-52-424-685-525-563--1001
28 732.285 200 1001-356-30-999-534-252-39-441-573-385-791-895-200-338-387-383--1001
29 603.087 198 1001-361-666-210-556-307-603-316-27-275-158-855--1001
30 616.912 200 1001-365-199-880-3-224-816-593-698-739-742-205-858--1001
31 497.751 196 1001-373-22-166-73-220-608-681-859-380-841-390--1001
32 595.165 199 1001-386-638-296-428-492-446-588-940-832-113-801-990-715-225--1001
33 728.128 200 1001-393-402-552-410-364-786-701-354-31-938-503-604-491--1001
34 334.848 200 1001-394-212-758-323-79-290-655--1001
35 735.780 200 1001-420-825-216-342-969-822-207-750-294-229-34-511--1001
36 318.353 200 1001-463-116-70-611-322-319-104-794-89--1001
37 307.048 198 1001-486-218-267-921-471-891-112-505-613--1001
38 171.241 195 1001-487-743-559-257-278-407-751-877--1001
39 269.108 199 1001-489-718-302-762-651-853-371-607-630-501-239--1001
40 471.549 199 1001-495-543-160-959-733-838-452-92-350-331--1001
41 705.660 199 1001-496-418-167-886-566-32-769--1001
42 515.088 200 1001-502-702-577-388-795-398-162-240-846-747--1001
43 406.523 199 1001-517-423-937-944-363-430-404-830--1001
