total_number_routes=36
total_route_len=7322.160
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 241.109 199 401-26-190-338-56-240-141-74-366-129-128-102-41--401
2 287.117 196 401-30-205-62-264-252-198-200-83-12-202-14--401
3 188.216 196 401-44-279-175-229-59-383-2-289-35-50--401
4 134.147 192 401-51-349-179-384-60-54-9-40--401
5 105.133 198 401-86-90-302-163-244-169-109-142--401
6 207.595 200 401-116-274-166-145-39-4-184-211-117-372-48-395--401
7 271.896 199 401-136-112-299-100-305-221-25-354--401
8 97.273 198 401-138-91-218-10-317-359-172--401
9 208.003 199 401-143-342-269-151-262-339-393-234-330-156--401
10 211.891 200 401-147-97-65-77-36-378-173-346-161-313-199-182--401
11 207.305 200 401-150-360-268-52-275-5-79--401
12 239.392 197 401-155-265-114-237-238-222-277-81-318-19-357-249--401
13 192.180 198 401-164-72-171-37-309-367-127-225-315-259-391--401
14 236.365 200 401-165-105-111-392-1-80-332-18-157-348-351--401
15 212.442 198 401-170-389-316-385-103-110-183-263-341--401
16 182.010 199 401-177-282-382-187-235-148-20-144-285-71-251--401
17 96.363 182 401-188-276-250-344-98-130-258-376--401
18 215.681 198 401-209-290-253-64-153-219-96-38-49--401
19 219.569 200 401-210-294-32-139-22-132-301-271-113--401
20 135.159 199 401-216-236-220-303-125-280-261-325-347-106-287--401
21 223.790 200 401-226-340-381-242-115-158-191-266-154-57--401
22 195.198 193 401-228-88-206-358-123-93-300-256-101-17--401
23 150.353 199 401-291-203-217-160-119-69-146-133-122-27--401
24 269.218 195 401-292-343-6-272-370-306-149-308-140-53-331-241-118--401
25 142.380 199 401-304-388-314-63-89-213-194-181-78-224--401
26 291.391 199 401-310-267-231-254-356-365-371-239-374-3-255-387-66--401
27 296.442 197 401-322-70-363-126-135-297-152-283-345-68-195-284-397--401
28 320.058 198 401-328-246-196-99-23-352-176-208-333-247-55--401
29 181.832 200 401-334-398-197-15-326-260-189-329-186--401
30 114.000 198 401-335-319-7-85-245-124-94-311-108--401
31 136.169 191 401-337-394-137-323-227-28-42--401
32 232.390 195 401-361-377-75-350-293-380-16-214-92-162--401
33 165.008 198 401-368-215-33-47-273-45-362-243-13-8--401
34 209.872 200 401-369-307-34-296-399-174-31-327-82--401
35 256.633 199 401-375-278-87-230-134-67-201-21-379-131--401
36 248.577 200 401-396-192-312-373-207-390-320-29-223-295-286-61-212-46--401
