total_number_routes=18
total_route_len=3371.001
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 80.202 198 201-4-92-142-153-6-132-78-171-130-187--201
2 195.623 200 201-9-12-59-65-168-151-160-112-109-189-125--201
3 119.281 200 201-24-156-196-183-179-15-18-68-7--201
4 183.224 200 201-42-172-197-5-26-164-181-141-185--201
5 230.280 198 201-48-124-102-184-190-51-111-95-44-80--201
6 251.093 199 201-49-14-47-200-103-90-110-79-96-34-76--201
7 223.304 200 201-54-155-115-121-11-8-60-1-97-64--201
8 153.672 194 201-84-199-127-176-69-113-134-58-191-87-17--201
9 263.493 196 201-88-105-118-71-144-123-137-13-75--201
10 171.394 200 201-131-180-43-3-136-22-129-41-194--201
11 122.290 190 201-140-100-37-89-143-173-188-29-139-21-166--201
12 296.615 196 201-162-170-104-25-35-122-77-10-73-93-193-19--201
13 155.870 194 201-163-28-63-149-20-62-159-46-138-186-135-120--201
14 198.713 197 201-165-85-45-56-108-38-32-74-52-106--201
15 243.650 199 201-169-152-167-27-61-198-91-145-116-148-83--201
16 211.443 200 201-177-128-99-94-53-101-192-50-33--201
17 93.590 200 201-182-57-133-147-40-16-98-119-161--201
18 177.265 197 201-195-31-23-117-114-86-55-81-107--201
