total_number_routes=18
total_route_len=22372.408
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 1084.506 996 1001-11-389-402-87-393-771-542-989-114-363-300-629-725-298-731-891-768-233-522-874-958-471-215-401-692-486-515-690-573-428-713-971-560-123-303-260-683-889-323-89-678-854-794-928-918-600-299-775-718-36-495-136-447-207-650-801--1001
2 1204.538 999 1001-59-451-437-228-581-311-855-17-679-657-238-281-876-2-448-440-10-920-419-839-996-220-867-539-837-746-466-197-328-740-847-25-628-815-825-860-76-138-280-913-357-255-283-434-128-140-417-972-185-46-86-744-911--1001
3 1107.029 988 1001-93-850-271-741-88-49-297-211-431-821-55-892-774-828-71-986-630-253-262-671-15-582-56-104-962-999-939-848-948-468-499-200-213-949-3-773-443-290-658-392-1-910-936-72-39-498-459-758-631-722-224-284-67-296-590--1001
4 1284.487 990 1001-149-886-144-383-984-308-642-147-835-668-229-752-585-917-465-276-833-609-987-925-366-705-782-157-12-689-309-703-739-268-664-102-586-335-980-359-120-111-899-119-348-946-619-340-770-551-583-292-785-641-509-745-90--1001
5 1058.717 973 1001-176-659-922-547-484-791-334-60-869-587-830-822-601-381-152-615-937-469-645-75-307-496-535-19-97-382-811-421-100-728-243-575-993-902-857-511-569-513-696-30-505-497-995-177-127-832-566-688-879-193-43-799-396--1001
6 1359.919 997 1001-234-754-753-944-584-904-27-306-788-525-800-312-342-137-596-898-947-885-44-733-653-479-31-373-827-530-743-563-916-212-310-621-457-174-687-717-559-145-28-526-372-241-942-574-339-935-394-506-410-99-73-438-313-970-536--1001
7 1219.967 996 1001-272-859-344-660-386-607-605-206-760-5-293-501-706-248-864-124-314-959-961-500-808-346-388-356-190-543-125-632-411-415-333-663-450-700-187-723-730-34-423-759-895-294-92-555-151-79-921-156-964-109-270--1001
8 1172.836 994 1001-275-954-602-806-68-38-672-875-888-591-245-170-756-351-599-784-716-950-361-345-665-219-637-963-150-776-35-896-675-813-576-552-117-446-16-320-571-985-977-331-561-399-780-938-749-978-673-121-546-196-132-661-726-322--1001
9 1626.345 969 1001-370-225-853-487-549-906-107-240-327-148-534-37-354-974-932-82-436-878-362-330-710-256-439-353-915-639-719-681-289-404-164-680-84-480-712-409-656-617-862-217-475-324-442-761-622-106-208-485-893-13-182-113-697-168-608-387--1001
10 1327.150 991 1001-476-508-305-50-786-47-988-160-139-880-634-975-966-625-376-589-554-783-461-924-32-550-358-858-905-593-318-489-606-624-62-279-397-9-704-747-812-61-666-503-507-734-347-458-834-237-202-398-597-430-181-222-669-527-269-384--1001
11 1499.494 993 1001-477-74-514-426-405-778-521-736-180-814-171-903-670-841-579-523-267-239-321-824-20-861-455-23-445-638-131-594-249-493-390-890-592-91-519-951-674-400-85-412-379-711-677-956-191-604-247-865-444-226-648-611-804-820-926-69-580--1001
12 1583.597 996 1001-644-909-894-532-960-755-537-931-105-146-315-201-973-63-518-685-545-724-179-473-512-702-798-897-95-98-24-826-265-992-655-738-494-863-934-520-184-843-649-482-432-29-70-332-662-460-831-802-83-912-250-338-178--1001
13 1040.042 991 1001-709-51-767-612-21-533-326-870-325-720-676-474-1000-732-751-22-553-287-142-721-819-96-901-729-829-701-167-242-456-231-873-337-183-365-288-263-998-504-195-110-454-969-708-122-108-965-953-112-172-232-643-570-997-769-502-557-654-94-765-406--1001
14 914.802 978 1001-727-285-143-162-52-360-135-883-588-517-350-316-273-927-787-866-933-264-235-490-636-884-762-796-391-540-565-667-42-129-470-781-236-620-103-205-33-529-159-877-192-478-595-790-531--1001
15 1213.112 990 1001-793-230-779-871-101-610-65-868-374-838-126-349-976-967-464-647-161-818-14-304-77-414-449-923-40-618-845-367-805-45-803-613-635-134-424-203-930-319-64-823-737-251-258-626-698-467-173-979-562-163-882-907-369-130-766-295-842-433-221-623--1001
16 1137.047 983 1001-929-686-453-261-695-763-578-715-441-852-810-699-981-118-528-568-169-797-849-564-175-941-908-846-57-990-452-377-364-844-856-278-616-41-165-809-336-682-380-274-223-282-198-952-646-429-750-209-558-371-982-403-435-259-54-158--1001
17 1210.593 998 1001-983-792-556-481-416-210-472-66-352-216-691-603-567-329-81-544-341-693-492-483-516-707-764-26-188-155-375-548-777-301-227-133-491-577-598-194-58-840-651-524-807-277-378-463-4-8-968-154-257-78-218-141--1001
18 1328.226 1000 1001-991-252-407-244-6-538-955-817-355-395-116-742-945-286-408-18-900-627-887-684-919-694-462-748-640-851-881-943-204-422-343-816-266-914-572-418-488-254-510-614-80-7-199-189-772-425-789-166-633-652-940-413-186-385-836-994-53--1001
