total_number_routes=18
total_route_len=25317.290
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 1418.926 999 1001-59-149-370-82-436-932-974-354-327-107-549-240-225-853-487-10-906-878-37-148-534-362-330-710-49-211-473-512-55-897-598-577-95-98-826-24-992-655-738-494-934-863-237-202-398-459-498-758-597-181-631-430-722-224-67-296-284-384--1001
2 1870.438 973 1001-93-850-271-741-88-297-256-353-915-639-719-681-289-404-164-84-104-962-999-948-468-499-949-3-443-773-939-848-200-213-658-290-58-194-840-651-392-432-1-910-72-4-968-154-208-622-106-434-697-168-182-113-13--1001
3 1615.606 998 1001-101-610-65-161-791-642-147-668-837-867-539-825-628-25-847-917-276-833-593-905-975-966-625-554-376-589-858-318-489-606-624-62-279-397-9-704-747-812-61-666-503-507-734-347-458-834-173-979-562-641-292-785-283-90-745--1001
4 1209.293 989 1001-176-659-922-547-484-818-14-304-77-635-613-367-845-449-923-40-618-334-60-869-587-830-822-601-381-152-615-937-469-160-645-75-307-496-139-634-880-569-513-696-511-30-505-995-177-127-832-879-193-688-566-43-536-872--1001
5 1852.894 998 1001-234-206-293-706-864-124-314-959-808-753-944-476-508-305-462-694-786-47-988-902-811-421-993-575-243-728-100-97-19-535-382-857-64-251-258-626-862-217-265-807-277-524-936-39-29-70-332-662-831-802-460-83-893--1001
6 1660.640 997 1001-272-859-453-261-760-500-346-388-898-947-885-733-44-653-479-373-827-530-743-916-563-174-457-621-310-212-31-543-190-125-356-254-510-614-80-497-772-425-28-145-559-241-574-935-92-294-895-156-921-79-151-555-964-109-270--1001
7 1515.112 996 1001-389-402-87-11-393-644-416-210-66-352-216-544-341-227-301-329-81-567-691-603-472-755-973-201-537-133-491-794-918-928-520-600-299-775-649-482-184-843-718-36-495-136-447-226-648-912-250-338-178--1001
8 1319.174 998 1001-451-437-228-581-311-855-679-657-238-2-17-984-144-383-308-835-925-987-609-157-705-268-664-102-586-980-335-366-782-12-689-703-309-739-32-358-550-783-924-461-359-120-111-899-119-348-619-946-140-128-46-417-972-185-608-387--1001
9 1232.765 995 1001-477-285-883-74-588-514-517-405-426-778-776-150-784-716-950-361-675-576-446-117-552-813-896-219-963-637-345-665-35-594-455-23-445-131-112-953-399-561-938-780-865-444-611-978-804-103-926-997-570-643-322-403-48-765-406--1001
10 1252.957 993 1001-533-636-884-762-21-612-767-933-866-709-51-676-474-1000-175-941-908-990-452-377-364-844-901-856-809-165-682-336-41-616-278-729-57-846-952-198-282-223-274-380-646-429-129-470-781-236-172-232-982-371-557-769-502-69-580-291--1001
11 1818.579 994 1001-686-578-326-870-325-720-568-169-528-715-441-852-810-699-118-981-797-849-564-732-751-22-553-96-819-287-721-142-490-796-391-540-565-750-663-450-166-633-667-42-209-558-652-413-940-435-654-94-54-259-186-385-836-994-53--1001
12 1043.975 964 1001-727-275-114-363-38-300-629-725-298-958-215-401-692-375-155-26-707-516-483-764-713-428-690-515-471-874-522-233-768-891-731-323-89-303-123-560-573-971-492-693-188-777-548-683-260-889-678-854-677-711-669-192-159-529-820-877-650--1001
13 1338.775 979 1001-779-991-252-407-244-6-538-955-817-355-395-116-742-408-18-900-627-887-684-286-945-930-134-414-45-805-803-737-823-424-203-319-919-50-698-467-189-199-7-789-632-526-372-411-415-333-187-700-723-730-34-759-423-158-799-396--1001
14 1039.698 982 1001-787-264-235-814-171-267-523-579-841-670-736-521-180-903-239-321-824-20-861-638-16-365-998-504-195-183-167-242-456-231-873-337-701-829-454-110-969-708-122-965-108-263-288-320-571-985-331-977-890-91-956-191-247-604-207-222-541--1001
15 1339.462 975 1001-793-230-871-838-126-349-976-967-464-647-868-374-886-440-448-876-281-920-996-220-419-839-466-746-197-229-752-328-585-740-465-815-860-76-138-280-913-357-255-340-770-551-583-163-882-907-369-130-295-766-86-509-744-911--1001
16 1449.076 999 1001-927-273-316-350-143-162-135-360-52-602-954-68-806-672-875-888-591-245-170-756-599-351-486-592-493-390-249-674-519-379-951-85-400-412-749-33-205-620-673-121-546-196-132-661-726-478-595-790-531--1001
17 1124.068 998 1001-929-344-660-386-607-605-695-5-763-501-248-961-754-584-904-27-342-137-596-800-312-306-525-788-748-640-851-881-943-204-343-816-266-488-418-914-572-422-717-687-942-506-394-99-410-339-73-438-313-970-842-433-221-623-302--1001
18 1215.849 995 1001-983-771-792-542-989-556-481-909-894-532-960-931-105-146-315-545-63-518-685-724-179-798-702-892-774-828-821-431-71-630-253-15-671-582-56-262-986-712-480-680-439-409-617-475-656-761-442-324-378-8-463-485-218-257-78--1001
