total_number_routes=10
total_route_len=828.937
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 59.618 180 101-5-3-7-8-10-11-9-6-4-2-1--101
2 95.885 190 101-13-17-18-19-15-16-14--101
3 50.804 170 101-20-24-25-27-29-30-28-26-23-22--101
4 97.227 200 101-32-33-31-35-37-38-39-36--101
5 64.807 160 101-43-42-41-40-44-46-45-48-51-50-52-49--101
6 101.883 200 101-57-55-54-53-56-58-60--101
7 59.403 200 101-67-65-63-62-74-72-61-64-68-66--101
8 127.297 150 101-81-78-76-71-70-73-77-79--101
9 76.070 170 101-90-87-86-83-82-84-85-88-89--101
10 95.943 190 101-98-96-95-94-92-93-97-100--101
