total_number_routes=19
total_route_len=1677.556
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 87.130 57 101-2-21-73-41-56--101
2 74.504 121 101-5-83-61-85-37--101
3 100.867 84 101-14-44-38-43--101
4 95.325 98 101-27-69-76-79-3-54-24--101
5 55.637 75 101-28-12-40-53--101
6 95.887 82 101-30-51-9-66--101
7 68.426 57 101-31-88-7--101
8 109.127 59 101-33-29-78-34-35--101
9 132.490 61 101-36-47-19-8-46--101
10 110.159 93 101-39-23-67-55--101
11 87.949 54 101-45-82-18-84--101
12 35.647 12 101-52--101
13 45.388 75 101-59-99-94--101
14 103.898 71 101-62-11-90-20-32--101
15 107.346 85 101-63-64-49--101
16 118.417 110 101-65-71-81-50--101
17 87.384 102 101-72-75-22-74-89--101
18 86.773 60 101-92-42-15-87-57--101
19 75.203 102 101-95-98-16-86-91--101
