total_number_routes=11
total_route_len=1261.672
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 101.028 157 101-2-45-1-3-5-8-6-55--101
2 117.757 196 101-12-14-15-11-9-87-59-74-86-52-82--101
3 142.728 150 101-33-27-30-32-28-26-29-31--101
4 109.159 190 101-61-42-43-44-40-38-41-72-71-93-94--101
5 105.445 200 101-64-20-22-49-19-18-48-21-25--101
6 134.108 109 101-65-99-97-75-58--101
7 100.995 141 101-69-88-53-10-13-16-17--101
8 95.005 132 101-81-39-36-35-37-54--101
9 140.380 150 101-83-24-23-76-89-63-85-51--101
10 94.565 115 101-92-95-62-50-67-84-56--101
11 120.501 184 101-98-60-73-78-79-7-46-4-100--101
